onset_time,instrument_label,onset_phoneme,coda_phoneme,dataset,participant_id,subset,csv_file_path,wav_file_path
0.00047619,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
0.174489795,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
0.38877551,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
0.567346938,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
0.785714285,sd,t,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
1.683446712,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
1.848888888,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
2.098503401,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
2.292970521,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
2.507755102,sd,t,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
3.430612244,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
3.614285714,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
3.805532879,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
4.014149659,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
4.230385487,sd,t,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
5.149024943,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
5.342766439,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
5.555374149,kd,p,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
5.771609977,hhc,ts,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
5.997278911,sd,t,x,LVT,AFRP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AFRP3.wav
0.00047619,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
0.181405895,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
0.409977324,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
0.605170068,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
0.814580498,sd,t,a,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
1.700861678,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
1.902585034,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
2.130612244,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
2.337755102,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
2.586734693,sd,t,a,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
3.439795918,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
3.619387755,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
3.847959183,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
4.081632653,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
4.309183673,sd,t,a,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
5.121428571,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
5.331632653,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
5.561224489,kd,p,u,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
5.809183673,hhc,ts,x,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
6.021428571,sd,t,a,LVT,AZiP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/AZiP3.wav
0.00047619,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
0.141836734,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
0.39909297,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
0.605170068,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
0.826530612,sd,p,a,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
1.679591836,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
1.870408163,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
2.112244897,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
2.310204081,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
2.553061224,sd,p,a,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
3.41632653,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
3.602040816,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
3.841836734,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
4.058163265,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
4.290816326,sd,p,a,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
5.139795918,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
5.339795918,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
5.567346938,kd,p,u,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
5.783673469,hhc,ts,x,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
6.013265306,sd,p,a,LVT,BeaP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BeaP3.wav
0.00047619,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
0.260498866,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
0.482539682,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
0.716190476,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
0.922267573,sd,t,a,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
1.711746031,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
1.962086167,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
2.120272108,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
2.392380952,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
2.584671201,sd,t,a,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
3.427845804,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
3.715192743,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
3.891519274,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
4.149841269,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
4.334149659,sd,t,a,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
5.144671201,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
5.423310657,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
5.601814058,kd,p,u,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
5.871746031,hhc,ts,x,LVT,BicP,Frase,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP.csv,../AVP-LVT_Dataset/LVT_Dataset/Frase/BicP3.wav
